報告書名稱,丟出原因
2023_28990720.pdf,GRI格式錯誤或無法識別文字
2023_35229109.pdf,GRI格式錯誤或無法識別文字
2023_37759808.pdf,GRI格式錯誤或無法識別文字
2023_43295237.pdf,GRI格式錯誤或無法識別文字
2023_46298200.pdf,GRI格式錯誤或無法識別文字
2023_46479103.pdf,GRI格式錯誤或無法識別文字
2023_47250470.pdf,GRI格式錯誤或無法識別文字
2023_53004906.pdf,GRI格式錯誤或無法識別文字
2023_53017509.pdf,GRI格式錯誤或無法識別文字
2023_53113432.pdf,GRI格式錯誤或無法識別文字
2023_69559487.pdf,GRI格式錯誤或無法識別文字
2023_70576858.pdf,GRI格式錯誤或無法識別文字
2023_70767857.pdf,GRI格式錯誤或無法識別文字
2023_72104709.pdf,GRI格式錯誤或無法識別文字
2023_75466009.pdf,GRI格式錯誤或無法識別文字
2023_79841479.pdf,GRI格式錯誤或無法識別文字
2023_80287239.pdf,GRI格式錯誤或無法識別文字
2023_81231585.pdf,GRI格式錯誤或無法識別文字
2023_81271967.pdf,GRI格式錯誤或無法識別文字
2023_85617982.pdf,GRI格式錯誤或無法識別文字
2023_86120567.pdf,GRI格式錯誤或無法識別文字
2023_86123874.pdf,GRI格式錯誤或無法識別文字
2023_86140894.pdf,GRI格式錯誤或無法識別文字
2023_86362776.pdf,GRI格式錯誤或無法識別文字
2023_86379707.pdf,GRI格式錯誤或無法識別文字
2023_86978512.pdf,GRI格式錯誤或無法識別文字
2023_88187108.pdf,GRI格式錯誤或無法識別文字
2023_89397503.pdf,GRI格式錯誤或無法識別文字
2023_89647050.pdf,GRI格式錯誤或無法識別文字
2023_89858152.pdf,GRI格式錯誤或無法識別文字
2023_89922041.pdf,GRI格式錯誤或無法識別文字
2023_97257738.pdf,GRI格式錯誤或無法識別文字
2023_28428379.pdf,GRI表格含特殊符號
2023_28675574.pdf,GRI表格含特殊符號
2023_28684877.pdf,GRI表格含特殊符號
2023_28696894.pdf,GRI表格含特殊符號
2023_28990714.pdf,GRI表格含特殊符號
2023_33659498.pdf,GRI表格含特殊符號
2023_34227006.pdf,GRI表格含特殊符號
2023_35319185.pdf,GRI表格含特殊符號
2023_35320697.pdf,GRI表格含特殊符號
2023_36243760.pdf,GRI表格含特殊符號
2023_44680700.pdf,GRI表格含特殊符號
2023_52375605.pdf,GRI表格含特殊符號
2023_53113073.pdf,GRI表格含特殊符號
2023_54381049.pdf,GRI表格含特殊符號
2023_55625676.pdf,GRI表格含特殊符號
2023_55759180.pdf,GRI表格含特殊符號
2023_58176511.pdf,GRI表格含特殊符號
2023_58711014.pdf,GRI表格含特殊符號
2023_68035907.pdf,GRI表格含特殊符號
2023_68040606.pdf,GRI表格含特殊符號
2023_68919702.pdf,GRI表格含特殊符號
2023_70752257.pdf,GRI表格含特殊符號
2023_70771579.pdf,GRI表格含特殊符號
2023_72058206.pdf,GRI表格含特殊符號
2023_72065240.pdf,GRI表格含特殊符號
2023_73654033.pdf,GRI表格含特殊符號
2023_75706009.pdf,GRI表格含特殊符號
2023_79460007.pdf,GRI表格含特殊符號
2023_80333992.pdf,GRI表格含特殊符號
2023_80539426.pdf,GRI表格含特殊符號
2023_84126144.pdf,GRI表格含特殊符號
2023_84149224.pdf,GRI表格含特殊符號
2023_84149499.pdf,GRI表格含特殊符號
2023_84466749.pdf,GRI表格含特殊符號
2023_86027892.pdf,GRI表格含特殊符號
2023_86379024.pdf,GRI表格含特殊符號
2023_86685142.pdf,GRI表格含特殊符號
2023_86834614.pdf,GRI表格含特殊符號
2023_89358419.pdf,GRI表格含特殊符號
2023_89376900.pdf,GRI表格含特殊符號
2023_89961389.pdf,GRI表格含特殊符號
2023_90302792.pdf,GRI表格含特殊符號
2023_96922622.pdf,GRI表格含特殊符號
2023_97160544.pdf,GRI表格含特殊符號
2023_97176270.pdf,GRI表格含特殊符號
